my_id,other_id,trust,time
0,2,0,0.00802033406724328
0,2,0,0.00802033406724328
0,2,0,1
0,2,0,2
0,2,0,3
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.208010167033622
0,2,0,3.216030501100865
0,2,0,3.216030501100865
0,2,0.1,4
0,2,0.1,5
0,2,0.1,6
0,2,0.1,7
0,2,0.1,8
0,2,0.1,9
0,2,0.1,10
0,2,0.1,11
0,2,0.1,12
0,2,0.1,13
0,2,0.1,14
0,2,0.1,15.008020334067242
0,2,0.1,15.008020334067242
0,2,0.1,15
0,2,0.1,16
0,2,0.1,17
0,2,0.1,18
0,2,0.1,19
0,2,0.1,20
0,2,0.1,21
0,2,0.1,22
0,2,0.1,23
0,2,0.1,24
0,2,0.1,25
0,2,0.1,26
0,2,0.1,27
0,2,0.1,28
0,2,0.1,29
0,2,0.1,30.008020334067243
0,2,0.1,30.008020334067243
0,2,0.1,30
0,2,0.1,31
0,2,0.1,32
0,2,0.1,33
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.20801016703362
0,2,0.1,33.21603050110087
0,2,0.1,33.21603050110087
0,2,0.1,33.21603050110087
0,2,0.1,33.21603050110087
0,2,0.1,33.21603050110087
0,2,0.1,33.21603050110087
0,2,0.1,33.224050835168114
0,2,0.1,33.224050835168114
0,2,0.1,34
0,2,0.1,35
0,2,0.1,36
0,2,0.1,37
0,2,0.1,38
0,2,0.1,39
0,2,0.1,40
0,2,0.1,41
0,2,0.1,42
0,2,0.1,43
0,2,0.1,44
0,2,0.1,45.00802033406725
0,2,0.1,45.00802033406725
0,2,0.1,45
0,2,0.1,46
0,2,0.1,47
0,2,0.1,48
0,2,0.1,49
0,2,0.1,50
0,2,0.1,51
0,2,0.1,52
0,2,0.1,53
0,2,0.1,54
0,2,0.1,55
0,2,0.1,56
0,2,0.1,57
0,2,0.1,58
0,2,0.1,59
0,2,0.1,60.00802033406725
0,2,0.1,60.00802033406725
0,2,0.1,60
0,2,0.1,61
0,2,0.1,62
0,2,0.1,63
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.20801016703363
0,2,0.1,63.216030501100875
0,2,0.1,63.216030501100875
0,2,0.1,63.216030501100875
0,2,0.1,63.216030501100875
0,2,0.1,63.216030501100875
0,2,0.1,63.216030501100875
0,2,0.1,63.22405083516812
0,2,0.1,63.22405083516812
0,2,0.1,64
0,2,0.1,65
0,2,0.1,66
0,2,0.1,67
0,2,0.1,68
0,2,0.1,69
0,2,0.1,70
0,2,0.1,71
0,2,0.1,72
0,2,0.1,73
0,2,0.1,74
0,2,0.1,75.00802033406724
0,2,0.1,75.00802033406724
0,2,0.1,75
0,2,0.1,76
0,2,0.1,77
0,2,0.1,78
0,2,0.1,79
0,2,0.1,80
0,2,0.1,81
0,2,0.1,82
0,2,0.1,83
0,2,0.1,84
0,2,0.1,85
0,2,0.1,86
0,2,0.1,87
0,2,0.1,88
0,2,0.1,89
0,2,0.1,90.00802033406724
0,2,0.1,90.00802033406724
0,2,0.1,90
0,2,0.1,91
0,2,0.1,92
0,2,0.1,93
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.20801016703362
0,2,0.1,93.21603050110086
0,2,0.1,93.21603050110086
0,2,0.1,93.21603050110086
0,2,0.1,93.21603050110086
0,2,0.1,93.21603050110086
0,2,0.1,93.21603050110086
0,2,0.1,93.2240508351681
0,2,0.1,93.2240508351681
0,2,0.1,94
0,2,0.1,95
0,2,0.1,96
0,2,0.1,97
0,2,0.1,98
0,2,0.1,99
0,2,0.1,100
0,2,0.1,101
0,2,0.1,102
0,2,0.1,103
0,2,0.1,104
0,2,0.1,105.00802033406724
0,2,0.1,105.00802033406724
0,2,0.1,105
0,2,0.1,106
0,2,0.1,107
0,2,0.1,108
0,2,0.1,109
0,2,0.1,110
0,2,0.1,111
0,2,0.1,112
0,2,0.1,113
0,2,0.1,114
0,2,0.1,115
0,2,0.1,116
0,2,0.1,117
0,2,0.1,118
0,2,0.1,119
0,2,0.1,120.00802033406724
0,2,0.1,120.00802033406724
0,2,0.1,120
0,2,0.1,121
0,2,0.1,122
0,2,0.1,123
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.20801016703362
0,2,0.1,123.21603050110086
0,2,0.1,123.21603050110086
0,2,0.1,123.21603050110086
0,2,0.1,123.21603050110086
0,2,0.1,123.21603050110086
0,2,0.1,123.21603050110086
0,2,0.1,123.2240508351681
0,2,0.1,123.2240508351681
0,2,0.1,124
0,2,0.1,125
0,2,0.1,126
0,2,0.1,127
0,2,0.1,128
0,2,0.1,129
0,2,0.1,130
0,2,0.1,131
0,2,0.1,132
0,2,0.1,133
0,2,0.1,134
0,2,0.1,135.00802033406725
0,2,0.1,135.00802033406725
0,2,0.1,135
0,2,0.1,136
0,2,0.1,137
0,2,0.1,138
0,2,0.1,139
0,2,0.1,140
0,2,0.1,141
0,2,0.1,142
0,2,0.1,143
0,2,0.1,144
0,2,0.1,145
0,2,0.1,146
0,2,0.1,147
0,2,0.1,148
0,2,0.1,149
0,2,0.1,150.00802033406725
0,2,0.1,150.00802033406725
0,2,0.1,150
0,2,0.1,151
0,2,0.1,152
0,2,0.1,153
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.20801016703362
0,2,0.1,153.21603050110087
0,2,0.1,153.21603050110087
0,2,0.1,153.21603050110087
0,2,0.1,153.21603050110087
0,2,0.1,153.21603050110087
0,2,0.1,153.21603050110087
0,2,0.1,153.22405083516813
0,2,0.1,153.22405083516813
0,2,0.1,154
0,2,0.1,155
0,2,0.1,156
0,2,0.1,157
0,2,0.1,158
0,2,0.1,159
0,2,0.1,160
0,2,0.1,161
0,2,0.1,162
0,2,0.1,163
0,2,0.1,164
0,2,0.1,165.00802033406725
0,2,0.1,165.00802033406725
0,2,0.1,165
0,2,0.1,166
0,2,0.1,167
0,2,0.1,168
0,2,0.1,169
0,2,0.1,170
0,2,0.1,171
0,2,0.1,172
0,2,0.1,173
0,2,0.1,174
0,2,0.1,175
0,2,0.1,176
0,2,0.1,177
0,2,0.1,178
0,2,0.1,179
0,2,0.1,180.00802033406725
0,2,0.1,180.00802033406725
0,2,0.1,180
0,2,0.1,181
0,2,0.1,182
0,2,0.1,183
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.20801016703362
0,2,0.1,183.21603050110087
0,2,0.1,183.21603050110087
0,2,0.1,183.21603050110087
0,2,0.1,183.21603050110087
0,2,0.1,183.21603050110087
0,2,0.1,183.21603050110087
0,2,0.1,183.22405083516813
0,2,0.1,183.22405083516813
0,2,0.1,184
0,2,0.1,185
0,2,0.1,186
0,2,0.1,187
0,2,0.1,188
0,2,0.1,189
0,2,0.1,190
0,2,0.1,191
0,2,0.1,192
0,2,0.1,193
0,2,0.1,194
0,2,0.1,195.00802033406725
0,2,0.1,195.00802033406725
0,2,0.1,195
0,2,0.1,196
0,2,0.1,197
0,2,0.1,198
0,2,0.1,199
0,2,0.1,200
0,2,0.1,201
0,2,0.1,202
0,2,0.1,203
0,2,0.1,204
0,2,0.1,205
0,2,0.1,206
0,2,0.1,207
0,2,0.1,208
0,2,0.1,209
0,2,0.1,210.00802033406725
0,2,0.1,210.00802033406725
0,2,0.1,210
0,2,0.1,211
0,2,0.1,212
0,2,0.1,213
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.20801016703362
0,2,0.1,213.21603050110087
0,2,0.1,213.21603050110087
0,2,0.1,213.21603050110087
0,2,0.1,213.21603050110087
0,2,0.1,213.21603050110087
0,2,0.1,213.21603050110087
0,2,0.1,213.22405083516813
0,2,0.1,213.22405083516813
0,2,0.1,214
0,2,0.1,215
0,2,0.1,216
0,2,0.1,217
0,2,0.1,218
0,2,0.1,219
0,2,0.1,220
0,2,0.1,221
0,2,0.1,222
0,2,0.1,223
0,2,0.1,224
0,2,0.1,225.00802033406725
0,2,0.1,225.00802033406725
0,2,0.1,225
0,2,0.1,226
0,2,0.1,227
0,2,0.1,228
0,2,0.1,229
0,2,0.1,230
0,2,0.1,231
0,2,0.1,232
0,2,0.1,233
0,2,0.1,234
0,2,0.1,235
0,2,0.1,236
0,2,0.1,237
0,2,0.1,238
0,2,0.1,239
0,2,0.1,240.00802033406725
0,2,0.1,240.00802033406725
0,2,0.1,240
0,2,0.1,241
0,2,0.1,242
0,2,0.1,243
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.20801016703362
0,2,0.1,243.21603050110087
0,2,0.1,243.21603050110087
0,2,0.1,243.21603050110087
0,2,0.1,243.21603050110087
0,2,0.1,243.21603050110087
0,2,0.1,243.21603050110087
0,2,0.1,243.22405083516813
0,2,0.1,243.22405083516813
0,2,0.1,244
0,2,0.1,245
0,2,0.1,246
0,2,0.1,247
0,2,0.1,248
0,2,0.1,249
0,2,0.1,250
0,2,0.1,251
0,2,0.1,252
0,2,0.1,253
0,2,0.1,254
0,2,0.1,255.00802033406725
0,2,0.1,255.00802033406725
0,2,0.1,255
0,2,0.1,256
0,2,0.1,257
0,2,0.1,258
0,2,0.1,259
0,2,0.1,260
